cellID;meanFluoPeakAmplitude
18-01-21_M1_P1_C5;1798.786253058564
18-01-21_M1_P1_C6;768.1929443985334
18-01-21_M1_P1_C7;686.7012033469331
18-01-21_M1_P1_C8;1655.5346203434647
18-01-21_M1_P1_C9;187.56004285071066
18-01-21_M3_P1_C1;343.50316994099785
18-01-21_M3_P1_C2;1016.0572902447589
18-01-21_M3_P1_C3;543.9514596922037
18-01-21_M3_P1_C4;436.39366947164115
18-01-21_M3_P1_C5;298.6030546762509
18-01-21_M3_P1_C6;775.311502034488
18-01-21_M3_P1_C7;432.0688204280584
21-01-21_M2_P1_C10;133.5276623271179
21-01-21_M2_P1_C11;358.30358620046746
21-01-21_M2_P1_C1;52.153266364696215
21-01-21_M2_P1_C2;273.33601352952707
21-01-21_M2_P1_C3-1;83.18677740649542
21-01-21_M2_P1_C4;312.1262177749164
21-01-21_M2_P1_C5;128.38604544289106
21-01-21_M2_P1_C6;148.4524488328807
21-01-21_M2_P1_C7;171.58344858585926
21-01-21_M2_P1_C8;120.56376187937117
21-01-21_M2_P1_C9;687.2698407381532
