idxCompression;T;Tabs;B;F;dx;dy;dz;D2;D3
0;0.726;16717.461;6.15123;142.903483341788;4.59867088607595;0.425696202531645;0.278338798205616;4.61833207719978;4.62671197092265
0;1.326;16718.061;6.15369;142.810632721343;4.60006329113924;0.434620253164558;0.262935191579256;4.62054943128495;4.62802462849091
0;1.926;16718.661;6.15492;143.290587700493;4.5973417721519;0.440632911392404;0.246409111524308;4.61840976230725;4.62497850620055
0;2.526;16719.261;6.15369;143.970811140953;4.59424050632911;0.43626582278481;0.228916442992156;4.61490776702258;4.62058182873082
0;3.125;16719.86;6.15492;143.961890361736;4.59588607594937;0.437468354430379;0.210632505082705;4.61665976483359;4.62146226171228
0;3.726;16720.461;3.69492;69.9526578657862;4.59848101265823;0.437341772151902;0.191593936311689;4.61923104525496;4.62320275197601
1;3.801;16720.536;3.69369;70.1751533768344;4.59411392405063;0.44873417721519;0.171797854083517;4.6159771564596;4.6191730441308
1;3.815;16720.55;3.69369;68.856899723823;4.61506329113924;0.449367088607595;0.151697180227437;4.63688903916673;4.63936978436011
1;3.831;16720.566;3.70107;69.1850040914766;4.61436708860759;0.448227848101265;0.132431219095872;4.63608583098268;4.63797691456411
1;3.845;16720.58;3.74043;69.9667668610794;4.62132911392405;0.447151898734177;0.0765974361987396;4.64291154338995;4.64354334177854
1;3.861;16720.596;3.79455;71.4789581879867;4.62177215189874;0.446898734177216;0.0529267511341766;4.64332814936397;4.64362978107229
1;3.875;16720.61;3.87327;73.4850783670983;4.62512658227848;0.443544303797466;0.0474006401575065;4.64634560181765;4.64658737916522
1;3.891;16720.626;3.97659;76.5108750416468;4.62322784810127;0.444493670886077;0.0428849547016835;4.64454630280686;4.64474428556154
1;3.905;16720.64;4.10205;79.9629228471583;4.6253164556962;0.439683544303799;0.0396428881815982;4.64616766103696;4.64633678213806
1;3.921;16720.656;4.25211;84.068639650799;4.62664556962025;0.445189873417721;0.0344552678150437;4.64801497956713;4.64814268453117
1;3.935;16720.67;4.41816;89.2458830977038;4.62170886075949;0.445126582278482;0.0406756510267365;4.6430949234184;4.6432730887231
1;3.951;16720.686;4.6125;94.8737964881798;4.62189873417721;0.445696202531646;0.0460434217654443;4.64333856335504;4.64356684140844
1;3.965;16720.7;4.82898;101.360264338736;4.62075949367088;0.444620253164556;0.050025039774558;4.6421014064617;4.64237094300726
1;3.981;16720.716;5.0676;108.382792713665;4.62145569620253;0.444683544303798;0.0513955257229391;4.64280047024825;4.6430849342438
1;3.995;16720.73;5.33082;116.819089285622;4.61683544303798;0.44360759493671;0.0451369339950371;4.63809844724939;4.6383180733093
1;4.011;16720.746;5.61372;125.418284078329;4.61822784810127;0.436139240506328;0.0362688882306554;4.63877633585491;4.63891812024538
1;4.026;16720.761;5.91999;135.280980364093;4.61335443037974;0.444493670886075;0.0169612347804701;4.63471830036758;4.6347493359671
1;4.04;16720.775;6.2484;146.069338787729;4.60867088607595;0.446012658227849;-0.0145773537771552;4.63020243914492;4.63022538616714
1;4.056;16720.791;6.59772;157.302390186576;4.60626582278481;0.447784810126581;-0.0317242200916514;4.6279796959727;4.62808842746937
1;4.07;16720.805;6.97656;169.448797992622;4.60588607594937;0.440506329113923;-0.0545498279297735;4.6269031079777;4.62722466002472
1;4.086;16720.821;7.37385;182.680129360231;4.59949367088608;0.444367088607596;-0.119020287216213;4.62090944922736;4.62244199171041
1;4.101;16720.836;7.79082;196.605063482838;4.59816455696203;0.437341772151898;-0.0973986477530913;4.61891601120552;4.61994281513904
1;4.116;16720.851;8.23608;210.832147100165;4.59848101265823;0.441202531645571;-0.0780220291630317;4.61959817491832;4.62025699877652
1;4.13;16720.865;8.69733;226.629068372116;4.59443037974683;0.439873417721518;-0.0601535545911854;4.61543921398155;4.61583119146363
1;4.146;16720.881;9.1881;243.745483015383;4.58962025316456;0.434810126582279;-0.0524058690756254;4.61017070339448;4.61046855423073
1;4.16;16720.895;9.69732;260.772523662703;4.58727848101266;0.434050632911392;-0.0583340014124063;4.60776776913644;4.60813700642824
1;4.176;16720.911;10.23114;278.622591013145;4.58537974683544;0.43139240506329;-0.0565241204083592;4.60562773461284;4.60597457722282
1;4.19;16720.925;10.7871;297.38962393443;4.58107594936709;0.439113924050632;-0.0539452485724294;4.60207321673229;4.60238937748733
1;4.206;16720.941;11.36889;316.056581527215;4.58240506329114;0.432215189873418;-0.0495289000581082;4.6027433270207;4.60300980298484
1;4.22;16720.955;11.9679;336.353494799698;4.57753164556962;0.426898734177215;0.112912071907152;4.59739475088157;4.59878110279407
1;4.235;16720.97;12.59274;353.33838910398;4.57867088607595;0.427594936708861;0.230951579246821;4.5985937538446;4.60438955181413
1;4.251;16720.986;13.23972;370.910580490752;4.57202531645569;0.425569620253164;0.363165668408987;4.59178886666125;4.60612790733227
1;4.266;16721.001;13.90884;380.808003312729;4.57259493670886;0.425379746835443;0.539440737933025;4.59233844399923;4.62391270397431
1;4.281;16721.016;14.60133;403.224180793746;4.56816455696203;0.421518987341772;0.537925844982432;4.58757078159822;4.61900096242399
1;4.296;16721.031;15.31719;424.18599896707;4.56835443037975;0.424367088607594;0.535656759095904;4.5880224092155;4.61918583638163
1;4.312;16721.047;16.05273;446.7413524858;4.56550632911392;0.419113924050633;0.538609694441447;4.5847033189196;4.61623276335355
1;4.326;16721.061;16.8141;470.807497133648;4.55981012658228;0.420506329113923;0.539210252479529;4.57915865234075;4.61079620669643
1;4.342;16721.077;17.59515;493.952246141876;4.55860759493671;0.415316455696203;0.538352712129662;4.5774874071904;4.60903619053312
1;4.356;16721.091;18.40326;517.841269589622;4.55601265822785;0.419746835443037;0.534215165291407;4.57530750308619;4.60638953960953
1;4.372;16721.107;19.23105;541.050401930879;4.55449367088608;0.409430379746835;0.545973796893082;4.5728596997941;4.60533747090209
1;4.386;16721.121;20.07975;563.781280209728;4.55316455696203;0.40886075949367;0.555765284974248;4.57148494511673;4.60514382570311
1;4.402;16721.137;20.95551;590.165681468893;4.54873417721519;0.40639240506329;0.551063570787274;4.56685202320578;4.59997918048631
1;4.416;16721.151;21.84972;615.21706847516;4.5476582278481;0.406012658227846;0.543166336398376;4.56574655844538;4.5979420728139
1;4.432;16721.167;22.77222;641.936479330632;4.54860759493671;0.402911392405063;0.516250000000001;4.56641748451077;4.59550679526706
1;4.446;16721.181;23.7144;692.413732221057;4.54227848101266;0.401708860759493;0.269440184940151;4.56000699647307;4.56796035678331
1;4.462;16721.197;24.68118;723.077358935365;4.54303797468354;0.401582278481014;0.153538852303127;4.56075239031969;4.56333612009605
1;4.476;16721.211;25.66518;754.095047090417;4.53867088607595;0.401329113924051;0.0383390747990554;4.5563799742555;4.5565412710139
1;4.491;16721.226;26.67747;780.81261169133;4.53689873417721;0.396265822784812;-0.0775686091991865;4.55417135453708;4.55483189762468
1;4.507;16721.242;27.70944;803.454788303273;4.5353164556962;0.392784810126583;-0.194061590756877;4.55229340666602;4.55642789489552
1;4.521;16721.256;28.76355;821.375245548625;4.53417721518988;0.392151898734177;-0.310910982197828;4.55110383648054;4.56171149562081
1;4.537;16721.272;29.84226;836.225095492676;4.53189873417721;0.387974683544304;-0.427987412682789;4.54847562287722;4.5685669216203
1;4.551;16721.286;30.94065;843.659175610831;4.53284810126582;0.387721518987341;-0.545222054938572;4.54939994784313;4.58195449285853
1;4.566;16721.301;32.06733;849.762464654062;4.53025316455696;0.382658227848102;-0.662573324990697;4.54638549336923;4.59441230902358
1;4.582;16721.317;33.21;848.145605478095;4.53075949367089;0.384050632911393;-0.780013803200946;4.54700742006526;4.61342584326577
1;4.596;16721.331;34.38096;844.674451334338;4.52854430379747;0.380316455696205;-0.89752433054756;4.54448612253683;4.63226769971843
1;4.612;16721.347;35.57406;837.547791139267;4.52601265822785;0.371582278481014;-1.01509097624997;4.54124035612737;4.65330781941018
1;4.626;16721.361;36.78438;1019.99842225787;4.52506329113924;0.370316455696202;-0.135244446099947;4.5401907521794;4.54220465483186
1;4.642;16721.377;38.02299;1043.32121555321;4.52537974683544;0.363734177215189;0.174583283723552;4.53997405331163;4.54332958607435
1;4.656;16721.391;39.28251;1065.9761430235;4.52537974683544;0.366075949367088;0.199548265533758;4.54016227174464;4.54454540785445
1;4.672;16721.407;40.56171;1091.5785677527;4.52208860759494;0.365696202531646;0.225102701363484;4.53685123047759;4.54243220242715
